OBJECTID,globalid,nhfr_uid,nhfr_facility_code,country,iso,state,lga,lga_name_disagreement,ward,ward_name_disagreement,facility_name,facility_name_source,ownership,ownership_type,facility_level,facility_level_option,latitude,longitude,geocoordinates_source,last_updated,x,y
35494,205501c3-7a56-4e41-97e4-595f0e8ab338,,,Nigeria,NGA,Lagos,Mushin,0,Ilupeju Industrial,0,Odonton Ville Dental Clinic,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,6.557312012,3.364074707,GRID3_EHEALTH,2024-11-11,3.36407470700004,6.55731201200007
35502,7fbb3e57-e06a-4a1f-bf78-ecf3a1787d3c,,,Nigeria,NGA,Lagos,Apapa,0,Abraham Adesanya,0,Schubbs Dental Clinic,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,6.441101074,3.36907959,GRID3_EHEALTH,2024-11-11,3.36907959000007,6.44110107400007
35508,cbced41c-f8d9-4bd6-add9-3a6f475fc676,,,Nigeria,NGA,Lagos,Lagos Island,0,Ajele,0,T B S Federal Dental Clinic,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,6.446716309,3.398071289,GRID3_EHEALTH,2024-11-11,3.39807128900003,6.44671630900007
35543,44b00c4f-5852-4e9d-bd6a-9b36084170d6,,,Nigeria,NGA,Sokoto,Sokoto South,0,Rijiya A,0,Shiyar Marina Specialist Hospital,GRID3_EHEALTH,Public,Unknown,Tertiary,General Hospital,13.0537079996,5.24597199959,GRID3_EHEALTH,2024-11-11,5.24597200000005,13.053708
35588,577792c9-fa23-45fb-a6ce-d9b4b8b1745b,,,Nigeria,NGA,Lagos,Kosofe,0,Anthony,0,Rola Specialist Clinic,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,6.565490723,3.371276856,GRID3_EHEALTH,2024-11-11,3.37127685600007,6.56549072300004
35609,2e5a1785-ffb5-4385-a5bd-60e085138923,,,Nigeria,NGA,Anambra,Orumba South,0,Umunze  2,0,All Saints Specialist Hospital,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,5.980102539,7.248718262,GRID3_EHEALTH,2024-11-11,7.24871826200007,5.98010253900003
35657,21921d29-e857-4c22-96c8-341dba0cf3c6,,,Nigeria,NGA,Imo,Owerri North,0,Akwakuma,0,Six C Specialist Clinic,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,5.509521484,7.021728516,GRID3_EHEALTH,2024-11-11,7.02172851600005,5.50952148400006
35659,9e6fa998-5b4f-44ec-878f-14f443c06ae5,,,Nigeria,NGA,Imo,Owerri Municipal,0,Ikenegbu 1,0,Trust Specialist Clinic,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,5.489074707,7.037475586,GRID3_EHEALTH,2024-11-11,7.03747558600003,5.48907470700004
35806,9db778da-8842-47e2-90b3-d02e9407c82a,,,Nigeria,NGA,Anambra,Anaocha,0,Adazi Ani 1,0,Mbaegbu Homeopaedic Specialist Hospital,GRID3_EHEALTH,Private,Unknown,Tertiary,General Hospital,6.097261667,6.982788333,GRID3_EHEALTH,2024-11-11,6.98278833300003,6.09726166700005
35811,dcc90ecc-26b0-4dcf-b6fc-2aa5843f9a6d,,,Nigeria,NGA,Imo,Owerri Municipal,0,Ikenegbu 3,0,Obinic Eye Clinic,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,5.48248291,7.036499024,GRID3_EHEALTH,2024-11-11,7.03649902400002,5.48248291000004
35812,16ec9fa7-b8db-443e-98b0-1b8299a5593d,,,Nigeria,NGA,Imo,Owerri Municipal,0,Ikenegbu 1,0,Mercy Eye Clinic,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,5.490112305,7.037475586,GRID3_EHEALTH,2024-11-11,7.03747558600003,5.49011230500003
35819,d7404dae-fef2-4c7c-803e-ed6e9d9e1d76,,,Nigeria,NGA,Imo,Owerri Municipal,0,Aladinma 1,0,Freedom Dental Clinic,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,5.508728027,7.02130127,GRID3_EHEALTH,2024-11-11,7.02130127000004,5.50872802700007
35822,05639ea4-a967-4c39-96aa-d90d0435f556,,,Nigeria,NGA,Imo,Owerri Municipal,0,Azuzi 1,0,City Eye Clinic,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,5.487670898,7.030090332,GRID3_EHEALTH,2024-11-11,7.03009033200004,5.48767089800003
35829,83cdf5de-4335-4434-badc-fb5eed0eb8bd,,,Nigeria,NGA,Abia,Umuahia North,0,Etinan Urban 1,0,New Era Hospital and Maternity Specialist Medical Centre,GRID3_EHEALTH,Private,Unknown,Tertiary,Primary Health Clinic,5.540786667,7.500393333,GRID3_EHEALTH,2024-11-11,7.50039333300003,5.54078666700002
35834,b1f8af0e-7d5f-4b85-828d-51c78363b2da,,,Nigeria,NGA,Imo,Oguta,0,Izombe,0,Obeabor Federal Medical Center,GRID3_EHEALTH,Unknown,Unknown,Secondary,Unknown,5.623005706,6.875788093,GRID3_EHEALTH,2024-11-11,6.87578809300004,5.62300570600007
35878,f2503ecd-e6cd-43ef-8bf6-20b0520986a3,,,Nigeria,NGA,Delta,Ika North East,0,Ute-Okpu,0,Ab Specialist Hospital,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,6.196289062,6.272705078,GRID3_EHEALTH,2024-11-11,6.27270507800006,6.19628906200006
35971,031dd5a7-23c7-4d81-b93d-5536acb2e964,,,Nigeria,NGA,Ogun,Sagamu,0,Ayegbami,0,Kings Specialist Clinic,GRID3_EHEALTH,Private,Unknown,Tertiary,General Hospital,6.828308106,3.663085937,GRID3_EHEALTH,2024-11-11,3.66308593700006,6.82830810600007
35972,8a9aa804-8f36-4783-924f-491a962c5c34,,,Nigeria,NGA,Ogun,Ijebu North,0,Ago-Iwoye 1,0,Victory Specialist Hospital,GRID3_EHEALTH,Private,Unknown,Tertiary,General Hospital,6.93312,3.89856,GRID3_EHEALTH,2024-11-11,3.89856000000003,6.93312000000003
35996,3b01e67d-42f9-42e4-9a79-b36ebbecd325,,,Nigeria,NGA,Ogun,Ifo,0,Ajuwon / Akute,0,Victory Dental Clinic,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,6.663513184,3.352478028,GRID3_EHEALTH,2024-11-11,3.35247802800006,6.66351318400007
36065,1d78f5d2-d920-45cf-8032-9bba7c2c7210,,,Nigeria,NGA,Ogun,Ijebu Ode,0,Porogun 2,0,Yommx Dental Clinic,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,6.840087891,3.908508301,GRID3_EHEALTH,2024-11-11,3.90850830100004,6.84008789100005
36134,8dde4ea9-925c-4c36-aeb1-4d01bbe4da7c,,,Nigeria,NGA,Ogun,Abeokuta South,0,Ake 3,0,Sacred Heart Tuberculosis Hospital,GRID3_EHEALTH,Private,Unknown,Tertiary,General Hospital,7.15993,3.36541,GRID3_EHEALTH,2024-11-11,3.36541000000005,7.15993000000003
36194,e9f63492-fa0e-4e2f-9ae7-dbecba83e34c,,,Nigeria,NGA,Ogun,Ijebu Ode,0,Odo-Egbo / Oliworo,0,Oworu Specialist Hospital,GRID3_EHEALTH,Private,Unknown,Tertiary,General Hospital,6.826293945,3.922485351,GRID3_EHEALTH,2024-11-11,3.92248535100003,6.82629394500003
36243,a5f46971-acb5-403a-9ae2-7664c8147849,,,Nigeria,NGA,Benue,Makurdi,0,Clerk Mission,0,Healing Hands Specialist Hospital,GRID3_EHEALTH,Private,Unknown,Tertiary,General Hospital,7.717712402,8.515075684,GRID3_EHEALTH,2024-11-11,8.51507568400007,7.71771240200007
36303,e92753bf-fdb2-4ac6-a91a-7b12fda7b6f6,,,Nigeria,NGA,Delta,Sapele,0,Etamua,0,Professional Eye Test,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,5.897277832,5.678283691,GRID3_EHEALTH,2024-11-11,5.67828369100005,5.89727783200004
36368,68fa1ffb-e37b-4a7d-9e6f-be871ccffaf4,,,Nigeria,NGA,Ebonyi,Ikwo,0,Ndufu Igbudu,0,Ebonyi State Teaching Hospital Practice Centre,GRID3_EHEALTH,Unknown,Unknown,Tertiary,Teaching/Tertiary Hospital,6.05846,8.10587,GRID3_EHEALTH,2024-11-11,8.10587000000004,6.05846000000003
36393,b6f59ec2-4ede-4b80-b2d3-46efea70ce91,,,Nigeria,NGA,Enugu,Nkanu East,0,Isienu Akpaowfu,0,Ugo Specialist Clinic,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,6.371887207,7.602478027,GRID3_EHEALTH,2024-11-11,7.60247802700007,6.37188720700004
36414,3b91a4ee-bd0b-4272-99d3-0c4193fea1d8,,,Nigeria,NGA,Enugu,Enugu North,0,Ogui Township,0,Ave Maria Dental Center,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,6.435302734,7.489074707,GRID3_EHEALTH,2024-11-11,7.48907470700004,6.43530273400006
